ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0
streamex-root;0;0;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;1603;298;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;2507;251;0;0
src\main\java\javax\util\streamex\LongStreamEx.java;1726;345;1;0
src\test\java\javax\util\streamex\StreamExTest.java;1587;153;0;0
src\main\java\javax\util\streamex\IntStreamEx.java;1816;363;1;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;654;71;0;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;1623;327;1;0
src\main\java\javax\util\streamex\EntryStream.java;2196;238;0;0
src\test\java\javax\util\streamex\IntStreamExTest.java;1022;99;0;0
src\test\java\javax\util\streamex\LongStreamExTest.java;812;87;0;0
src\main\java\javax\util\streamex\StreamEx.java;1660;210;1;0
