ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;CodeHistory.WasAdded;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0;0
streamex-root;0;0;0;0;0
src\main\java\javax\util\streamex\LongStreamEx.java;1707;332;1;0;0
src\test\java\javax\util\streamex\StreamExTest.java;822;79;1;0;0
src\main\java\javax\util\streamex\IntStreamEx.java;1802;356;1;0;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;266;29;0;1;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;1621;317;1;0;0
src\test\java\javax\util\streamex\IntStreamExTest.java;336;32;0;1;0
src\test\java\javax\util\streamex\LongStreamExTest.java;310;31;0;1;0
src\main\java\javax\util\streamex\StreamEx.java;3131;453;1;0;0
