ID;Metric.Complexity;Metric.FanIn;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0
src\main\java\javax\util\streamex;0;0;0
streamex-root;0;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;1603;298;0
src\test\java\javax\util\streamex\EntryStreamTest.java;2507;251;0
src\main\java\javax\util\streamex\LongStreamEx.java;1725;340;0
src\test\java\javax\util\streamex\StreamExTest.java;1587;153;0
src\main\java\javax\util\streamex\IntStreamEx.java;1815;358;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;654;71;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;1622;322;0
src\main\java\javax\util\streamex\EntryStream.java;2196;238;0
src\test\java\javax\util\streamex\IntStreamExTest.java;1022;99;0
src\test\java\javax\util\streamex\LongStreamExTest.java;812;87;0
src\main\java\javax\util\streamex\StreamEx.java;1659;203;0
