ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0
streamex-root;0;0;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;1903;457;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;3227;312;0;0
src\main\java\javax\util\streamex\LongStreamEx.java;1815;485;1;0
src\test\java\javax\util\streamex\StreamExTest.java;3480;295;0;0
src\main\java\javax\util\streamex\IntStreamEx.java;2315;707;1;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;1308;104;0;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;1684;424;0;0
src\main\java\javax\util\streamex\EntryStream.java;2474;540;0;0
src\test\java\javax\util\streamex\IntStreamExTest.java;1993;133;1;0
src\test\java\javax\util\streamex\LongStreamExTest.java;1371;107;1;0
src\main\java\javax\util\streamex\StreamEx.java;2097;705;0;0
