ID;Metric.Complexity;Metric.FanIn;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0
src\main\java\javax\util\streamex;0;0;0
streamex-root;0;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;1864;440;0
src\test\java\javax\util\streamex\EntryStreamTest.java;2661;268;0
src\main\java\javax\util\streamex\LongStreamEx.java;1727;351;0
src\test\java\javax\util\streamex\StreamExTest.java;1905;173;0
src\main\java\javax\util\streamex\IntStreamEx.java;1822;421;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;973;80;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;1624;333;0
src\main\java\javax\util\streamex\EntryStream.java;2331;389;0
src\test\java\javax\util\streamex\IntStreamExTest.java;1309;108;0
src\test\java\javax\util\streamex\LongStreamExTest.java;1102;96;0
src\main\java\javax\util\streamex\StreamEx.java;1661;220;0
