ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0
streamex-root;0;0;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;3773;351;0;0
src\main\java\javax\util\streamex\LongStreamEx.java;2558;898;0;0
src\test\java\javax\util\streamex\StreamExTest.java;6309;455;0;0
src\main\java\javax\util\streamex\package-info.java;9;33;0;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;2446;147;0;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;2508;865;0;0
src\main\java\javax\util\streamex\PairSpliterator.java;1382;258;0;0
src\test\java\javax\util\streamex\IntStreamExTest.java;3958;240;0;0
src\test\java\javax\util\streamex\LongStreamExTest.java;2253;143;0;0
src\main\java\javax\util\streamex\StreamEx.java;2587;1031;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;2500;767;1;0
src\main\java\javax\util\streamex\StreamFactory.java;2994;547;0;0
src\main\java\javax\util\streamex\IntStreamEx.java;3538;1387;0;0
src\test\java\javax\util\streamex\CustomPoolTest.java;2583;141;0;0
src\main\java\javax\util\streamex\EntryStream.java;2494;644;0;0
