ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0
streamex-root;0;0;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;3825;356;1;0
src\main\java\javax\util\streamex\LongStreamEx.java;2559;908;0;0
src\test\java\javax\util\streamex\StreamExTest.java;6735;504;0;0
src\main\java\javax\util\streamex\package-info.java;9;33;0;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;2446;147;0;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;2509;875;0;0
src\main\java\javax\util\streamex\PairSpliterator.java;1386;258;0;0
src\test\java\javax\util\streamex\IntStreamExTest.java;3958;240;0;0
src\test\java\javax\util\streamex\LongStreamExTest.java;2253;143;0;0
src\main\java\javax\util\streamex\StreamEx.java;2882;1129;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;2502;795;0;0
src\main\java\javax\util\streamex\StreamFactory.java;3000;547;0;0
src\main\java\javax\util\streamex\IntStreamEx.java;3539;1397;0;0
src\test\java\javax\util\streamex\CustomPoolTest.java;2583;141;0;0
src\main\java\javax\util\streamex\EntryStream.java;2496;662;0;0
