frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
27,0.027,0.98,1,0.108,0.125,0.04,-0.079,-0.054,0.0,0.012,0.006,0.0,0.0,0.06,0.0,0.068,0.0,0.0,0.0,0.034,0.0,0.014000000000000002,0.0,0.0,0.0
28,0.028,0.98,1,0.103,0.118,0.036,-0.08,-0.054,0.0,0.0,0.012,0.0,0.0,0.06,0.0,0.064,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.0
29,0.029,0.98,1,0.115,0.118,0.037,-0.08,-0.055,0.0,0.006,0.012,0.024,0.008,0.044,0.006,0.054000000000000006,0.0,0.0,0.0,0.028000000000000004,0.0,0.04,0.0,0.0,0.0
30,0.03,0.98,1,0.117,0.109,0.036,-0.083,-0.054,0.0,0.006,0.01,0.04,0.02,0.054000000000000006,0.026000000000000002,0.036,0.0,0.0,0.0,0.018,0.0,0.05600000000000001,0.0,0.0,0.0
31,0.031,0.98,1,0.125,0.115,0.037,-0.086,-0.051,0.0,0.024,0.012,0.052000000000000005,0.032,0.054000000000000006,0.04,0.028000000000000004,0.0,0.0,0.0,0.004,0.0,0.076,0.0,0.0,0.0
32,0.032,0.98,1,0.121,0.114,0.04,-0.086,-0.051,0.0,0.024,0.014000000000000002,0.032,0.034,0.05600000000000001,0.041999999999999996,0.024,0.0,0.0,0.0,0.006,0.0,0.088,0.002,0.0,0.0
33,0.033,0.98,1,0.121,0.113,0.038,-0.084,-0.052,0.0,0.024,0.022,0.016,0.03,0.036,0.024,0.028000000000000004,0.0,0.0,0.0,0.004,0.0,0.094,0.002,0.0,0.0
34,0.034,0.98,1,0.126,0.118,0.039,-0.085,-0.051,0.0,0.01,0.024,0.006,0.022,0.018,0.012,0.02,0.0,0.0,0.0,0.006,0.0,0.094,0.004,0.0,0.0
35,0.035,0.98,1,0.128,0.116,0.039,-0.085,-0.051,0.0,0.002,0.028000000000000004,0.0,0.014000000000000002,0.016,0.004,0.024,0.0,0.0,0.0,0.002,0.0,0.086,0.006,0.0,0.0
36,0.036,0.98,1,0.125,0.11,0.039,-0.084,-0.052,0.0,0.002,0.028000000000000004,0.0,0.004,0.006,0.006,0.026000000000000002,0.0,0.0,0.0,0.004,0.0,0.076,0.01,0.0,0.0
