frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
22,0.022,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03599069,3.862352e-08,0.08264598,0.04148558,0.05389019,0.05541396,0.07519917,0.0533902,0.06720074,0.05957739,0.02677862,0.0285551,0.08009264,0.02071738,0.03788128,0.08068506,0.0
23,0.023,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03598876,3.844426e-08,0.08261558,0.04152985,0.05381589,0.05527559,0.07520199,0.05343499,0.06679444,0.05959557,0.02675844,0.02846605,0.0807944,0.02108875,0.03820125,0.08063925,0.0
24,0.024,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03602374,3.833448e-08,0.08256271,0.04158783,0.05375636,0.05510341,0.07520214,0.05349278,0.06642916,0.05967688,0.02673844,0.02837281,0.08168192,0.0211967,0.03840345,0.08058927,0.0
25,0.025,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03607576,3.856755e-08,0.0824649,0.04164009,0.05372983,0.05498642,0.07520229,0.05368024,0.06601889,0.0597885,0.02672317,0.02828293,0.08244215,0.02164253,0.03867449,0.08051904,0.0
26,0.026,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03612868,3.890897e-08,0.0823331,0.04170946,0.05370997,0.05483693,0.07520109,0.05382868,0.06592561,0.06007823,0.02670379,0.02818661,0.0834521,0.02203131,0.03893209,0.08043365,0.0
27,0.027,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03621865,3.988299e-08,0.08219334,0.04180806,0.05370775,0.05469957,0.07519963,0.05387196,0.06606495,0.0603749,0.02668588,0.02808479,0.0846317,0.02300638,0.03917551,0.0803778,0.0
28,0.028,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03626928,4.068621e-08,0.08205611,0.04195367,0.05371743,0.05453996,0.07519849,0.05389936,0.06602656,0.06076713,0.02666321,0.02797971,0.08535293,0.02368917,0.03943775,0.08031447,0.0
29,0.029,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03627513,4.147197e-08,0.08194459,0.04206436,0.05372176,0.05444462,0.07519687,0.05386898,0.06627221,0.06129096,0.02663741,0.02788788,0.08643472,0.02426329,0.0396315,0.08024644,0.0
30,0.03,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03630239,4.286735e-08,0.08183829,0.04219955,0.05369948,0.05435499,0.0751956,0.05380936,0.06634878,0.06186476,0.02660569,0.02779843,0.08705655,0.02478994,0.039851,0.08021554,0.0
31,0.031,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03623661,4.269739e-08,0.08170962,0.04229679,0.05362696,0.05435935,0.07519019,0.05357156,0.0672803,0.06177776,0.02655547,0.02777842,0.08661033,0.02452213,0.03979885,0.08023607,0.0
