frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26,AU45_r
16,0.016,1.0,1,0.079,0.128,0.03,-0.081,-0.057,0.5384609841990267,0.27924653128644256,0.04379507011727743,0.007964896058174136,0.0008940598410966258,0.004732232876110829,1.3369325475151704e-06,0.0030634202895499564,0.02879828748563831,0.3026081807233502,0.010534550168302004,0.08160780755859459,0.015503549572471235,0.15978751268877586,0.0007055688937057977,0.0014909289358697177,0.0
17,0.017,1.0,1,0.081,0.115,0.031,-0.081,-0.056,0.49347274918238654,0.2639473806758077,0.045678103920687885,0.006946976002864707,0.0009799621082458552,0.005414504710367546,2.233628426067608e-06,0.0037065523707575923,0.030622851181580275,0.2960631158865609,0.009349838502135993,0.09325022793750591,0.015307827643590507,0.14801220947544177,0.0008644613081284188,0.0018547122715324685,0.0
18,0.018,1.0,1,0.081,0.121,0.033,-0.08,-0.057,0.4524994378339782,0.21301723416483045,0.05884814551341495,0.0034571834272647726,0.0005223270864295375,0.0030180923415557294,1.5298313550166049e-06,0.001865187317926389,0.017679235683736607,0.3352213768022468,0.008770761037755096,0.10188404091542963,0.012870607344008135,0.190210971761114,0.0004415712697243182,0.0015380949060649798,0.0
19,0.019,1.0,1,0.077,0.125,0.031,-0.081,-0.057,0.4575625709624707,0.24836061080753705,0.04103588829644312,0.005225913640084452,0.0009198346340980315,0.005247235652621087,1.5612061855117712e-06,0.002571775742418732,0.027751781766980923,0.32400607430354467,0.012010801519656047,0.09760939898232965,0.011388236212795968,0.20505800338421235,0.0005167577325378394,0.0016742089665023987,0.0
20,0.02,1.0,1,0.083,0.122,0.031,-0.081,-0.055,0.46796933372981064,0.2558378814404174,0.03394564980451026,0.006360709397193593,0.0004935930895175996,0.004755061492722705,1.178079467383059e-06,0.001845425144293277,0.022435851245552113,0.32064484980548313,0.008462163723357485,0.08300608531678422,0.009204799789698367,0.2263159086001386,0.00042376190085916486,0.001426221601755478,0.0
21,0.021,1.0,1,0.08,0.116,0.034,-0.08,-0.055,0.3972100841557255,0.20777513367796194,0.03930165506824926,0.004900525278513455,0.000678899065266826,0.00396362206946783,1.4465818732461264e-06,0.002305838842219534,0.022170739437289953,0.3295757823101321,0.01199216485204567,0.10683547101344829,0.010516751467564135,0.1916672086800174,0.0004908861918115742,0.0015745245271965172,0.0
22,0.022,1.0,1,0.076,0.114,0.034,-0.08,-0.054,0.4392065374059444,0.23229542351790988,0.03613991884147228,0.006486108657381493,0.000708731343432505,0.004466046369555775,1.231878874259428e-06,0.002276373232405842,0.02511745053697005,0.30774679605727734,0.009767950614737708,0.08993887004744515,0.012118763706480712,0.2075651371653866,0.0004447029813327785,0.0013525208185402888,0.0
23,0.023,1.0,1,0.074,0.108,0.035,-0.08,-0.054,0.4988996978841986,0.2670738504990859,0.061477092719160846,0.008104243807397566,0.0005599433462256697,0.003125111638799768,1.2769416524201899e-06,0.002406229655867802,0.0145700514708955,0.2906218617775766,0.009858887073893449,0.09596198368549369,0.011840537350357202,0.1525570114281274,0.0005346918710636998,0.0015029278063941633,0.0
24,0.024,1.0,1,0.073,0.112,0.036,-0.079,-0.054,0.4081310678157545,0.2382821978183656,0.040634969220801107,0.007792552040331732,0.0005239586445565944,0.0036483351725814933,1.2801197892503306e-06,0.002145235860111393,0.020545409440559863,0.32422517649583954,0.01344846546514285,0.11923718794705251,0.011072565399064697,0.2168577272240858,0.00039745237373688027,0.0014072960122885122,0.0
25,0.025,1.0,1,0.076,0.112,0.037,-0.08,-0.055,0.4537481255953323,0.2722363925641415,0.030365846479998675,0.008800995335032508,0.0004349664405702277,0.003158899008168489,8.285084286635227e-07,0.00200745615568348,0.022985604691352836,0.3588492062055156,0.008361375650260568,0.08919771237736453,0.01107001389258806,0.22193381226845832,0.00035041043023993564,0.0011955993174124898,0.0
