-2.7;0.9;-0.1;40.9;0.3;6.7;0.0
-2.8;0.9;-0.3;41.7;21.4;18.0;0.5
-2.8;0.8;-0.3;41.2;57.6;28.9;1.0
-2.7;1.2;-0.3;322.8;88.6;37.5;1.5
-2.7;1.8;-0.3;316.2;324.8;207.7;2.0
-2.7;1.8;-0.3;320.5;329.2;196.6;2.5
-2.6;1.9;-0.3;307.0;317.8;209.4;3.0
-2.6;1.8;-0.2;319.6;328.8;199.1;3.5
-2.6;1.8;-0.2;324.8;330.0;194.6;4.0
-2.6;1.8;-0.2;315.1;320.0;197.0;4.5
-2.4;1.6;-0.1;326.5;17.2;109.0;5.0
-2.4;1.2;-0.1;33.5;26.5;73.2;5.5
-2.4;1.2;-0.1;24.8;24.7;71.3;6.0
-2.4;1.2;-0.1;24.3;26.8;69.6;6.5
-2.5;1.2;0.0;13.2;26.1;64.9;7.0
-2.6;1.1;-0.1;1.5;31.5;58.5;7.5
-2.5;1.2;-0.1;340.0;40.2;42.5;8.0
-2.4;1.1;-0.1;345.6;39.2;50.3;8.5
-2.2;1.0;0.0;7.3;35.9;48.6;9.0
-2.3;1.0;-0.1;356.7;32.4;53.4;9.5
-2.4;1.1;-0.1;350.5;36.7;57.0;10.0
-2.4;1.1;0.0;311.9;43.5;61.4;10.5
-2.4;1.2;0.1;319.4;353.5;88.0;11.0
-2.3;1.3;0.0;319.9;96.5;288.1;11.5
-2.3;1.1;-0.4;346.8;128.9;297.0;12.0
-2.3;1.3;-0.1;304.6;38.7;55.3;12.5
-2.2;1.2;-0.1;326.6;58.6;38.6;13.0
-2.3;1.1;0.0;329.3;29.4;67.3;13.5
-2.2;1.0;0.1;10.6;7.9;75.7;14.0
-2.5;1.0;-0.1;15.7;3.8;65.6;14.5
-2.4;0.9;-0.2;24.1;38.5;72.4;15.0
-2.5;1.0;0.0;9.7;16.8;71.7;15.5
-2.4;1.0;-0.1;7.7;31.1;78.9;16.0
-2.4;1.0;-0.1;5.4;30.5;79.6;16.5
-2.3;1.0;-0.1;11.6;38.2;82.0;17.0
-2.6;1.0;0.0;357.6;28.6;35.9;17.5
-2.8;1.1;0.1;353.6;359.9;29.2;18.0
-2.9;1.0;0.1;32.4;303.7;28.8;18.5
-2.9;0.9;0.1;51.8;274.3;26.2;19.0
-3.3;0.9;0.3;54.0;268.3;27.3;19.5
-3.3;0.9;0.1;51.5;228.7;10.7;20.0
