-2.9;1.7;-0.1;23.5;63.8;1.8;0
-2.8;1.7;-0.2;6.1;97.8;0.5;0.5
-2.9;1.8;-0.1;358.8;91.2;357.9;1
-2.9;1.8;-0.1;2.6;99.5;358.1;1.5
-3.0;1.8;-0.1;5.0;97.8;357.3;2
-3.0;1.8;-0.1;3.1;94.4;358.0;2.5
-3.0;1.8;-0.1;3.1;92.3;359.6;3
-3.0;1.8;-0.1;3.9;91.3;359.9;3.5
-3.0;1.8;-0.1;6.8;89.0;0.1;4
-3.0;1.7;-0.1;17.0;79.0;2.4;4.5
-2.9;1.7;-0.1;22.3;74.4;4.5;5
-2.9;1.7;-0.1;28.7;80.2;5.0;5.5
-2.9;1.7;-0.1;28.1;82.1;5.5;6
-3.0;1.7;-0.1;26.9;82.9;3.9;6.5
-3.0;1.7;0.0;31.8;79.0;1.9;7
-2.9;1.7;-0.1;36.1;78.4;359.3;7.5
-2.6;1.5;-0.1;35.9;70.3;356.8;8
-2.5;1.4;-0.1;35.2;67.1;355.3;8.5
-2.5;1.3;-0.1;37.3;68.5;356.4;9
-2.5;1.3;-0.1;39.2;68.5;356.3;9.5
-2.6;1.3;-0.1;36.6;70.4;357.8;10
-2.6;1.4;0.0;32.7;68.8;357.7;10.5
-2.6;1.4;-0.1;20.2;51.7;342.1;11
-2.6;1.4;-0.1;21.8;53.9;341.2;11.5
-2.6;1.4;-0.1;38.5;78.6;352.6;12
-2.6;1.4;0.0;35.6;76.3;0.0;12.5
-2.6;1.5;0.0;27.6;64.8;353.1;13
-2.6;1.5;-0.1;31.6;69.0;353.0;13.5
-2.6;1.5;-0.1;35.3;61.9;353.3;14
-2.6;1.4;-0.1;53.7;75.8;1.4;14.5
-2.7;1.4;-0.1;53.8;89.8;8.3;15
-2.7;1.5;-0.1;47.1;82.5;3.8;15.5
-2.7;1.5;-0.1;45.2;82.5;4.2;16
-2.7;1.5;-0.1;43.8;85.5;5.6;16.5
-2.7;1.5;-0.1;41.8;83.9;6.4;17
-2.8;1.5;0.0;21.2;22.4;349.8;17.5
-3.0;1.6;0.0;18.9;351.2;354.5;18
-3.1;1.6;0.0;53.0;328.3;356.2;18.5
-3.0;1.6;0.0;56.1;305.4;352.4;19
-3.4;1.6;0.1;41.3;283.3;348.8;19.5
-3.5;1.6;0.0;43.7;265.7;351.7;20
-3.4;1.6;0.0;35.1;299.2;5.3;20.5
-3.4;1.6;0.0;15.3;343.9;10.7;21
-3.5;1.6;-0.1;28.3;312.0;5.0;21.5
-3.4;1.7;-0.1;11.4;320.6;13.2;22
-3.4;1.6;-0.1;34.6;325.4;357.9;22.5
-3.5;1.6;-0.1;41.5;317.4;1.4;23
-3.5;1.5;-0.1;43.0;308.7;3.1;23.5
-3.5;1.5;-0.1;41.0;307.4;5.5;24
-3.5;1.5;-0.1;40.1;309.3;6.8;24.5
-3.5;1.5;-0.1;37.9;310.2;6.5;25
-3.5;1.5;-0.1;33.6;310.9;5.7;25.5
-3.5;1.5;0.0;28.0;304.6;3.3;26
-3.5;1.5;0.0;30.6;283.4;359.1;26.5
-3.5;1.5;0.1;23.7;284.0;359.4;27
-3.4;1.6;0.0;15.4;292.0;2.6;27.5
-3.5;1.6;0.0;15.5;292.0;2.9;28
-3.5;1.5;-0.1;16.7;272.1;357.0;28.5
-3.5;1.5;-0.1;27.7;249.2;349.8;29
-3.5;1.5;-0.1;34.4;241.5;345.1;29.5
-3.5;1.5;-0.2;38.6;243.5;347.6;30
-3.5;1.5;-0.2;39.6;246.0;351.2;30.5
