ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0
streamex-root;0;0;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;1491;288;1;0
src\test\java\javax\util\streamex\EntryStreamTest.java;1885;197;1;0
src\main\java\javax\util\streamex\LongStreamEx.java;1725;350;1;0
src\test\java\javax\util\streamex\StreamExTest.java;1362;137;1;0
src\main\java\javax\util\streamex\IntStreamEx.java;1815;373;1;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;340;51;1;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;1622;332;1;0
src\main\java\javax\util\streamex\EntryStream.java;1841;236;1;0
src\test\java\javax\util\streamex\IntStreamExTest.java;736;78;1;0
src\test\java\javax\util\streamex\LongStreamExTest.java;526;66;1;0
src\main\java\javax\util\streamex\StreamEx.java;1679;227;1;0
